product,itemCount,running_total
core.chargeable.sp1gb,1,1095
core.chargeable.advancemailsec,15,1110
core.chargeable.exchange,13,1123
core.chargeable.advancemailsec,13,1136
core.chargeable.exchange,8,1144
core.chargeable.advancemailsec,8,1152
core.chargeable.exchange,1,1153
core.chargeable.sp1gb,1,1154
core.chargeable.advancemailsec,1,1155
core.chargeable.exchange,2,1157
core.chargeable.owa,2,1159
core.chargeable.activesync,2,1161
core.chargeable.sp1gb,1,1162
core.chargeable.advancemailsec,4,1166
core.chargeable.exchange,2,1168
core.chargeable.sp1gb,1,1169
core.chargeable.advancemailsec,2,1171
core.chargeable.exchange,1,1172
core.chargeable.sp1gb,1,1173
core.chargeable.advancemailsec,1,1174
core.chargeable.exchange,3,1177
core.chargeable.sp1gb,1,1178
core.chargeable.advancemailsec,3,1181
core.chargeable.exchange,1,1182
core.chargeable.advancemailsec,1,1183
core.chargeable.exchange,11,1194
core.chargeable.sp1gb,1,1195
core.chargeable.advancemailsec,11,1206
core.chargeable.exchange,1,1207
core.chargeable.sp1gb,1,1208
core.chargeable.advancemailsec,1,1209
core.chargeable.exchange,2,1211
core.chargeable.sp1gb,1,1212
core.chargeable.advancemailsec,2,1214
core.chargeable.exchange,10,1224
core.chargeable.sp1gb,1,1225
core.chargeable.advancemailsec,10,1235
core.chargeable.exchange,5,1240
core.chargeable.sp1gb,1,1241
core.chargeable.advancemailsec,5,1246
core.chargeable.exchange,4,1250
core.chargeable.sp1gb,1,1251
core.chargeable.advancemailsec,4,1255
core.chargeable.exchange,2,1257
core.chargeable.sp1gb,1,1258
core.chargeable.advancemailsec,2,1260
core.chargeable.exchange,1,1261
core.chargeable.sp1gb,1,1262
core.chargeable.advancemailsec,1,1263
core.chargeable.exchange,1,1264
core.chargeable.sp1gb,1,1265
core.chargeable.advancemailsec,1,1266
core.chargeable.exchange,1,1267
core.chargeable.sp1gb,1,1268
core.chargeable.advancemailsec,1,1269
core.chargeable.exchange,2,1271
core.chargeable.sp1gb,1,1272
core.chargeable.advancemailsec,2,1274
core.chargeable.exchange,2,1276
core.chargeable.sp1gb,1,1277
